"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007030","Golgi organization","32/1562","156/18888",0.205128205128205,2.48044912833645,5.57489334447748,1.28185854802567e-06,0.00603781984861425,0.0057367235879834,"23207/83452/7443/10142/222068/2801/23015/998/25839/23423/10075/8874/128989/7534/165324/55666/23345/2580/23271/1452/27314/64225/79591/5205/84272/3064/23332/157680/9648/9659/79585/5605",32
"GO:0010811","positive regulation of cell-substrate adhesion","27/1562","124/18888",0.217741935483871,2.63297674610714,5.47773452592011,2.57722871568807e-06,0.00603781984861425,0.0057367235879834,"3717/1012/57091/2041/26073/998/5034/4811/8874/3728/5590/6385/201294/7448/673/948/5879/1601/6239/25890/2013/6281/6251/151887/9448/91663/2316",27
"GO:0007264","small GTPase-mediated signal transduction","71/1562","500/18888",0.142,1.71709090909091,4.87938201742594,4.75783227733008e-06,0.00603781984861425,0.0057367235879834,"56882/399/7409/440107/83452/1012/65979/286530/9844/51571/84253/8844/5337/55619/4914/55114/10602/9411/998/5923/221472/10251/23779/8874/26030/10287/115557/26053/84078/23550/6009/10235/89839/23094/10982/11186/201176/1452/27314/6016/55333/7157/54869/10630/5662/4851/22821/397/9908/5879/5894/23011/23365/25959/27334/51196/10252/9267/55704/11214/7052/10146/10160/23526/5908/440193/9448/2305/382/89890/4649",71
"GO:1902903","regulation of supramolecular fiber organization","59/1562","392/18888",0.150510204081633,1.81999790953513,4.92594683499864,4.97689491680462e-06,0.00603781984861425,0.0057367235879834,"3071/64857/100287171/57175/51571/2241/387680/2041/10142/3312/81553/10602/4926/998/55755/122060/146206/150356/157922/8874/55616/119/375/23271/6385/146057/253725/3304/171024/673/7148/57704/324/24139/91807/5204/5879/221074/54434/6249/25959/830/85477/55704/23332/6709/9530/6281/11214/57606/1003/7046/23406/5295/9659/382/91663/961/2316",59
"GO:0031113","regulation of microtubule polymerization","17/1562","61/18888",0.278688524590164,3.36995445099809,5.56656398358114,5.7937994997208e-06,0.00603781984861425,0.0057367235879834,"10142/4926/55755/122060/157922/8874/23271/3304/57704/24139/5879/221074/6249/23332/57606/1003/9659",17
"GO:1900024","regulation of substrate adhesion-dependent cell spreading","17/1562","62/18888",0.274193548387097,3.31560034694973,5.48344224329889,7.37245723405332e-06,0.00603781984861425,0.0057367235879834,"57091/2192/998/5034/8874/5318/1946/201294/253725/673/10630/5879/1601/6239/6281/91663/2316",17
"GO:0046785","microtubule polymerization","22/1562","95/18888",0.231578947368421,2.80029651593773,5.28178400036319,7.49640633918052e-06,0.00603781984861425,0.0057367235879834,"10844/10142/2801/4926/55755/122060/157922/8874/23271/3304/27229/57704/24139/5879/221074/6249/23332/7756/57606/1003/4134/9659",22
"GO:0051258","protein polymerization","46/1562","287/18888",0.160278745644599,1.93812096525941,4.8084432370692,1.05248797325135e-05,0.00741740899148888,0.00704751486299488,"3071/3717/64857/10844/51571/2241/10142/81553/2801/10602/4926/55755/122060/146206/157922/8874/119/10093/23271/7448/253725/3304/27229/57704/24139/5879/221074/54434/6249/25959/830/85477/5000/23332/6709/9530/7756/57606/51652/1003/4134/23406/9659/382/91663/79585",46
"GO:0034446","substrate adhesion-dependent cell spreading","22/1562","101/18888",0.217821782178218,2.63394226746618,4.94357954422546,2.11154116335683e-05,0.0132276323100065,0.0125679917898514,"57091/2192/55742/64098/2241/2041/998/5034/8874/5318/1946/201294/253725/673/10630/5879/1601/6239/6281/5295/91663/2316",22
"GO:0032271","regulation of protein polymerization","35/1562","204/18888",0.17156862745098,2.074640355502,4.63357449556571,2.73704702475234e-05,0.0145991146504844,0.0138710805355231,"3071/64857/51571/2241/10142/81553/10602/4926/55755/122060/146206/157922/8874/119/23271/253725/3304/57704/24139/5879/221074/54434/6249/25959/830/85477/23332/6709/9530/57606/1003/23406/9659/382/91663",35
